Date,Open,High,Low,Close,Volume,Adj Close
2000-10-25,44.56,45.69,43.81,44.06,9571400,14.77
2000-10-24,43.81,45.38,43.44,44.50,8341200,14.91
2000-10-23,43.56,43.94,42.69,43.75,7581000,14.66
2000-10-20,44.12,44.69,43.50,43.75,8862200,14.66
2000-10-19,42.88,44.94,42.81,44.06,11030400,14.77
2000-10-18,41.50,43.38,40.25,42.19,17018400,14.14
2000-10-17,45.12,45.12,42.38,42.75,16354400,14.33
2000-10-16,46.00,46.06,44.56,45.19,16535600,15.14
2000-10-13,45.38,47.75,45.19,46.56,9950600,15.60
2000-10-12,47.25,47.50,44.06,44.56,13461200,14.93
2000-10-11,48.69,48.75,45.50,47.06,17528800,15.77
2000-10-10,50.62,50.75,47.94,48.69,12609000,16.32
2000-10-09,52.00,52.12,50.19,50.56,6151600,16.95
2000-10-06,54.12,54.12,51.50,51.62,8869400,17.30
2000-10-05,52.75,53.94,52.69,53.88,7255200,18.06
2000-10-04,54.31,54.75,52.19,52.75,8719800,17.68
2000-10-03,53.38,54.50,52.81,54.19,9244800,18.16
2000-10-02,52.62,53.12,51.81,53.06,6038600,17.78
2000-09-29,53.25,53.81,52.00,52.38,9287600,17.55
