Date;Last Price;Volume;SMAVG (15)
04.08.2003;3405,31;82228432;94105072
01.08.2003;3438,89;94124392;94265408
31.07.2003;3487,86;127620320;93206128
30.07.2003;3429,03;84533448;91434288
29.07.2003;3428,12;87003768;92574944
28.07.2003;3417,77;70777656;101972400
25.07.2003;3356,89;72124680;105181936
24.07.2003;3374,82;106298504;103629448
23.07.2003;3304,48;78165160;103384752
22.07.2003;3318,15;104716288;104500384
21.07.2003;3287;86690064;104157624
18.07.2003;3366,71;86567440;104321920
17.07.2003;3330,68;108538648;104302072
16.07.2003;3387,64;107078280;103732840
15.07.2003;3384,69;115109000;102854744
14.07.2003;3396,07;84633472;101833248
11.07.2003;3326,51;78235224;102313144
10.07.2003;3269,84;101042672;111246664
09.07.2003;3322,43;101643256;110252584
08.07.2003;3344,46;227965648;111459264
07.07.2003;3332,87;118920760;103926656
04.07.2003;3239,61;48837264;102474768
03.07.2003;3241,92;102628048;106109928
02.07.2003;3241,04;94899744;108328168
01.07.2003;3146,55;99574832;111106440
30.06.2003;3220,58;89154464;110766744
27.06.2003;3224,66;86269768;108041192
26.06.2003;3241,22;100000128;111038592
25.06.2003;3198,82;93906864;112644632
24.06.2003;3217,34;99786560;113939280
23.06.2003;3186,39;91831896;112917584
20.06.2003;3238,98;212238032;113897520
19.06.2003;3247,11;86131480;106997296
18.06.2003;3304,15;119743496;104685352
17.06.2003;3286,48;114976488;104990312
16.06.2003;3264,5;97142488;103626752
13.06.2003;3168,71;103364656;99370248
12.06.2003;3219,47;135901600;97655752
11.06.2003;3178,15;136573888;95314088
10.06.2003;3140,34;94479352;93464064
09.06.2003;3094,76;48271224;94204288
06.06.2003;3127,46;131230784;97787312
05.06.2003;3039,76;124090632;96198928
04.06.2003;3080,02;113326576;95891936
03.06.2003;3026,82;84461168;95068040
02.06.2003;3064,56;106530920;95355416
30.05.2003;2982,68;108734664;93575984
29.05.2003;2906,71;51452356;92404464
28.05.2003;2919,54;124317872;96789360
27.05.2003;2873,6;94523152;97447176
26.05.2003;2828,28;33294932;97722312
23.05.2003;2822,83;77647216;101378272
22.05.2003;2865,21;100776552;102586184
21.05.2003;2827,25;108823512;105056664
20.05.2003;2838,93;105582768;105441680
19.05.2003;2850,68;102016632;104241616
16.05.2003;2989,08;107404976;104003392
15.05.2003;2989,38;119485776;104131312
14.05.2003;2926,03;100968112;104100488
13.05.2003;2909,95;88771744;103154784
12.05.2003;2937,26;79839544;103547320
09.05.2003;2956,59;91161784;106022920
08.05.2003;2886,08;117225816;107872896
07.05.2003;3005,64;134185104;105442272
06.05.2003;3066,95;98650224;102570432
05.05.2003;3013,04;88134328;102781976
02.05.2003;2986;95765856;105217800
30.04.2003;2942,04;137833776;105944096
29.04.2003;2908,96;114598736;105598000
28.04.2003;2953,92;87581784;105027904
25.04.2003;2838,23;98443288;106432736
24.04.2003;2891,62;109323808;106979616
23.04.2003;2974,4;119023472;105033760
22.04.2003;2960,96;86782456;103568104
17.04.2003;2899,78;94659832;103283832
16.04.2003;2824,68;116973496;103054984
15.04.2003;2834,12;118911464;101808536
14.04.2003;2776,78;80766472;101518504
11.04.2003;2733,95;91107528;103205216
10.04.2003;2697,1;101823296;115335216
09.04.2003;2734,1;124671728;115908112
08.04.2003;2767,79;106660304;117815288
07.04.2003;2808,94;132642336;124080448
04.04.2003;2654,07;106047328;124361816
03.04.2003;2569,81;108654176;128205896
02.04.2003;2589,35;106646504;129533096
01.04.2003;2450,19;80136048;131305776
31.03.2003;2423,87;97038648;133768904
28.03.2003;2520,84;82518352;134076288
27.03.2003;2584,05;91227136;135179984
26.03.2003;2579,33;98276696;134553616
25.03.2003;2636,1;114560984;133654784
24.03.2003;2548,37;106067216;132804000
21.03.2003;2715,06;273057472;130661120
20.03.2003;2604,85;110416704;118682648
19.03.2003;2615,22;153279408;119504656
18.03.2003;2584,61;200637744;117239376
17.03.2003;2487,12;136862832;113457032
14.03.2003;2403,19;163708496;109237432
13.03.2003;2354,31;128562176;106410024
12.03.2003;2202,96;133236688;107128496
11.03.2003;2305,3;117083064;110497080
10.03.2003;2329,04;101649320;108463976
07.03.2003;2431,66;99073832;105636624
06.03.2003;2437,51;81831544;105836744
05.03.2003;2498,02;84794312;106304080
